ID,Barcode,Item_Name,MRP,Rate_A,Rate_B,WS_Price,Rate_C,Last_Used,Available_Stock,UOM,HSN,Tax_Percentage,Discount_Percentage,Low_Stock_Quantity,Expiry_Date,Description,Total_Sold,Brand_Name,Supplier_Name,Full_Bin_Qty,Managed_Bin
4687,4687,Kly Maashi C-Cup 34 M.Fawn,390,350,0,265.2,0,13-10-2022,0,Pcs,,0,0,0,01-01-2100,Piyush Enterperises,2,,,0,FALSE
4688,4688,Kly Maashi D-Cup 34 Coral,400,360,0,272,0,17-12-2022,0,Pcs,,0,0,0,01-01-2100,Piyush Enterperises,2,,,0,FALSE
4689,4689,Kly Maashi D-Cup 34 M.Fawn,400,360,0,272,0,20-12-2022,0,Pcs,,0,0,0,01-01-2100,Piyush Enterperises,2,,,0,FALSE
4690,4690,Kly Maashi C-Cup 36 Coral 390,390,345,0,265.2,0,20-12-2022,0,Pcs,,0,0,0,01-01-2100,Piyush Enterperises,2,,,0,FALSE
4691,4691,Kly Maashi D-Cup 36 M.Fawn,400,360,0,272,0,12-10-2022,1,Pcs,,0,0,0,01-01-2100,Piyush Enterperises,1,,,0,FALSE
4692,4692,Saree Shaper Dermawear White XL SS406,899,780,780,624.8,780,09-03-2022,1,Pcs,,0,0,0,01-01-2100,Dermawear Sonari Rupak Marketting,0,,,0,FALSE
4693,4693,Saree Shaper Dermawear White XXL SS406,899,780,780,624.8,780,20-05-2022,1,Pcs,,0,0,0,01-01-2100,Dermawear Sonari Rupak Marketting,1,,,0,FALSE
4694,4694,Bralatte Top 5012 8881 Red,380,220,250,105,250,22-07-2022,2,Pcs,6212,0,0,0,01-01-2100,Sunil Bhopal,4,,,0,FALSE
4695,4695,Bralatte Top 5012 8881 Peach,380,220,250,105,250,25-06-2022,4,Pcs,6212,0,0,0,01-01-2100,Sunil Bhopal,2,,,0,FALSE
4696,4696,Spare,549,490,450,378.88,450,19-03-2022,0,Pcs,6212,0,0,0,01-01-2100,A Pagali Jockey,0,,,0,FALSE
4697,4697,1723 Non-Wired Padded Bra 30 Jockey 749,749,670,649,516.9,649,08-06-2022,0,Pcs,6212,0,0,0,01-01-2100,A Pagali,2,Jockey,PAGLI,0,FALSE
4698,4698,Push Up Front hook 1501 38 White,449,350,340,185,304.5,19-03-2022,3,Pcs,,0,0,0,01-01-2100,Sunil Kalyani Rajput Industries Bhopal,0,,,0,FALSE
4699,4699,Push Up Front hook 1501 38 Black,449,350,340,185,304.5,19-03-2022,3,Pcs,,0,0,0,01-01-2100,Sunil Kalyani Rajput Industries Bhopal,0,,,0,FALSE
4700,4700,Push Up Front hook 1501 38 Skin,449,350,340,185,304.5,19-03-2022,3,Pcs,,0,0,0,01-01-2100,Sunil Kalyani Rajput Industries Bhopal,0,,,0,FALSE
4701,4701,Push Up Front hook 1501 38 Red,449,350,340,185,304.5,19-03-2022,3,Pcs,,0,0,0,01-01-2100,Sunil Kalyani Rajput Industries Bhopal,0,,,0,FALSE
4702,4702,Push Up Demmy 267 Black 34C,480,350,350,207,350,02-07-2022,1,Pcs,6212,0,0,0,01-01-2100,,1,,Sunil Bhopal Kalyani Sales Brother,0,FALSE
4703,4703,Push Up Demmy 267 Black 36C,480,350,350,207,350,03-04-2022,1,Pcs,6212,0,0,0,01-01-2100,,1,,Sunil Bhopal Kalyani Sales Brother,0,FALSE
4704,4704,Push Up Demmy 267 Black 38C,480,350,350,207,350,06-06-2022,0,Pcs,6212,0,0,0,01-01-2100,,2,,Sunil Bhopal Kalyani Sales Brother,0,FALSE
4705,4705,Push Up Demmy 267 Skin 34C,480,350,350,207,350,25-07-2022,1,Pcs,6212,0,0,0,01-01-2100,,2,,Sunil Bhopal Kalyani Sales Brother,0,FALSE
4706,4706,Push Up Demmy 267 Skin 36C,480,350,350,207,350,30-07-2022,2,Pcs,6212,0,0,0,01-01-2100,,1,,Sunil Bhopal Kalyani Sales Brother,0,FALSE
4707,4707,Push Up Demmy 267 Skin 38C,480,350,350,207,350,29-05-2022,0,Pcs,6212,0,0,0,01-01-2100,,2,,Sunil Bhopal Kalyani Sales Brother,0,FALSE
4708,4708,Lia Babydoll Sexy Set FF236BLK,299,199,149,105,149,16-04-2022,5,Pcs,,0,0,0,01-01-2100,Mohan Enterprises,1,,,0,FALSE
4709,4709,Lia Babydoll Sexy Set FF236Red,299,199,149,105,149,16-04-2022,5,Pcs,,0,0,0,01-01-2100,Mohan Enterprises,1,,,0,FALSE
4710,4710,Lia Babydoll Sexy Set FF236Blue,299,199,149,105,149,25-01-2023,5,Pcs,,0,0,0,01-01-2100,Mohan Enterprises,1,,,0,FALSE
4711,4711,Bath Robe Pink 10001,460,250,250,135,250,06-06-2022,4,Pcs,,0,0,0,01-01-2100,Mohan Enterprises Ruhani,2,,Mohan Enterprises Amit Ruhani Enterprises,0,FALSE
4712,4712,Bath Robe Red 10001,460,250,250,135,250,19-03-2022,12,Pcs,,0,0,0,01-01-2100,Mohan Enterprises Ruhani,0,,Mohan Enterprises Amit Ruhani Enterprises,0,FALSE
4713,4713,Bath Robe Black 10001,460,250,250,135,250,12-06-2022,9,Pcs,,0,0,0,01-01-2100,Mohan Enterprises Ruhani,3,,Mohan Enterprises Amit Ruhani Enterprises,0,FALSE
4714,4714,ZIVAME ZI1880 SS REG BRA NAVY BLU 34E,449,385,409,272.68,368,25-09-2022,1,Pcs,6212,0,0,0,01-01-2100,Toshniwal Enterprises,1,Zivame,Tosniwal Enterprises Indore Zivame,1,TRUE
4715,4715,ZIVAME ZI1880 SS REG BRA NAVY BLU 36E,449,385,409,272.68,368,22-01-2023,1,Pcs,6212,0,0,0,01-01-2100,Toshniwal Enterprises,1,Zivame,Tosniwal Enterprises Indore Zivame,1,TRUE
4716,4716,ZIVAME ZI1880 SS REG BRA NAVY BLU 38E,449,385,409,272.68,368,22-01-2023,1,Pcs,6212,0,0,0,01-01-2100,Toshniwal Enterprises,1,Zivame,Tosniwal Enterprises Indore Zivame,1,TRUE
4717,4717,ZIVAME ZI1880 SS REG BRA GEORGIA PEAC 34E,449,385,409,272.68,368,22-01-2023,1,Pcs,6212,0,0,0,01-01-2100,Toshniwal Enterprises,1,Zivame,Tosniwal Enterprises Indore Zivame,1,TRUE
4718,4718,ZIVAME ZI1880 SS REG BRA GEORGIA PEAC 36E,449,385,409,272.68,368,22-01-2023,1,Pcs,6212,0,0,0,01-01-2100,Toshniwal Enterprises,1,Zivame,Tosniwal Enterprises Indore Zivame,1,TRUE
4719,4719,ZIVAME ZI1880 SS REG BRA GEORGIA PEAC 38E,449,385,409,272.68,368,19-03-2022,1,Pcs,6212,0,0,0,01-01-2100,Toshniwal Enterprises,0,Zivame,Tosniwal Enterprises Indore Zivame,1,TRUE
4720,4720,ZIVAME ZI1880 SS REG BRA ROEBUCK 34E,449,385,409,272.68,368,22-01-2023,1,Pcs,6212,0,0,0,01-01-2100,Toshniwal Enterprises,2,Zivame,Tosniwal Enterprises Indore Zivame,1,TRUE
